Item,City,Price,Month,Year,Category
Pulse Mash (Washed),Gujranwala,444.97,4,2023,Food & Beverages
Pulse Gram,Gujranwala,220.0,4,2023,Food & Beverages
Potatoes,Gujranwala,70.54,4,2023,Food & Beverages
Onions,Gujranwala,80.63,4,2023,Food & Beverages
Tomatoes,Gujranwala,77.03,4,2023,Food & Beverages
Sugar Refined,Gujranwala,122.23,4,2023,Food & Beverages
Gur (Average Quality),Gujranwala,150.0,4,2023,Food & Beverages
Salt Powdered (NATIONAL/SHAN) 80,Gujranwala,50.0,4,2023,Food & Beverages
Chilies Powder NATIONAL 200 gm Pa,Gujranwala,215.0,4,2023,Food & Beverages
Garlic (Lehsun),Gujranwala,356.64,4,2023,Food & Beverages
Tea Lipton Yellow Label 190 gm Pack,Gujranwala,558.82,4,2023,Food & Beverages
Cooked Beef at Average Hotel,Gujranwala,300.0,4,2023,Food & Beverages
Cooked Daal at Average Hotel,Gujranwala,100.0,4,2023,Food & Beverages
Tea Prepared Ordinary,Gujranwala,50.0,4,2023,Food & Beverages
Cigarettes Capstan 20'S Packet,Gujranwala,220.0,4,2023,Miscellaneous
"Long Cloth 57"" Gul Ahmed/Al Karam",Gujranwala,571.0,4,2023,Apparel & Footwear
Shirting (Average Quality),Gujranwala,300.0,4,2023,Apparel & Footwear
Lawn Printed Gul Ahmed/Al Karam,Gujranwala,550.0,4,2023,Apparel & Footwear
Georgette (Average Quality),Gujranwala,200.0,4,2023,Apparel & Footwear
Gents Sandal Bata,Gujranwala,1499.0,4,2023,Apparel & Footwear
Gents Sponge Chappal Bata,Gujranwala,379.0,4,2023,Apparel & Footwear
Ladies Sandal Bata,Gujranwala,699.0,4,2023,Apparel & Footwear
Electricity Charges upto 50 Units,Gujranwala,6.23,4,2023,Housing Water & Energy
Gas Charges upto 3.3719 MMBTU,Gujranwala,295.0,4,2023,Housing Water & Energy
Firewood Whole,Gujranwala,1232.45,4,2023,Housing Water & Energy
Energy Saver Philips 14 Watt,Gujranwala,400.0,4,2023,Household Equipment
Sufi Washing Soap 250 gm Cake,Gujranwala,120.0,4,2023,Personal Care
Match Box,Gujranwala,5.0,4,2023,Household Equipment
Petrol Super,Gujranwala,277.75,4,2023,Transport & Communication
Hi-Speed Diesel,Gujranwala,293.8,4,2023,Transport & Communication
LPG 11.67 kg Cylinder,Gujranwala,3548.9,4,2023,Housing Water & Energy
Telephone Call Charges,Gujranwala,1.79,4,2023,Transport & Communication
Toilet Soap LIFEBUOY 115 gm,Gujranwala,98.83,4,2023,Personal Care
Wheat Flour Bag,Sialkot,2398.39,4,2023,Food & Beverages
Rice Basmati Broken (Average Qualit,Sialkot,169.71,4,2023,Food & Beverages
Bread plain (Small Size),Sialkot,100.0,4,2023,Food & Beverages
Beef with Bone (Average Quality),Sialkot,750.0,4,2023,Food & Beverages
Mutton (Average Quality),Sialkot,1650.0,4,2023,Food & Beverages
Chicken Farm Broiler (Live),Sialkot,367.26,4,2023,Food & Beverages
Milk fresh (Un-boiled),Sialkot,140.0,4,2023,Food & Beverages
Curd (Dahi) Loose,Sialkot,150.0,4,2023,Food & Beverages
Powdered Milk NIDO 390 gm Polybag,Sialkot,680.0,4,2023,Food & Beverages
Eggs Hen (Farm),Sialkot,267.46,4,2023,Food & Beverages
Mustard Oil (Average Quality),Sialkot,560.0,4,2023,Food & Beverages
Cooking Oil DALDA or Other Similar B,Sialkot,3290.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB 2.5 kg,Sialkot,1550.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB or Oth,Sialkot,605.0,4,2023,Food & Beverages
Bananas (Kela) Local,Sialkot,230.0,4,2023,Food & Beverages
Pulse Masoor (Washed),Sialkot,261.17,4,2023,Food & Beverages
Pulse Moong (Washed),Sialkot,253.74,4,2023,Food & Beverages
Pulse Mash (Washed),Sialkot,442.42,4,2023,Food & Beverages
Pulse Gram,Sialkot,220.0,4,2023,Food & Beverages
Potatoes,Sialkot,62.35,4,2023,Food & Beverages
Onions,Sialkot,76.24,4,2023,Food & Beverages
Tomatoes,Sialkot,68.45,4,2023,Food & Beverages
Sugar Refined,Sialkot,122.47,4,2023,Food & Beverages
Gur (Average Quality),Sialkot,184.79,4,2023,Food & Beverages
Salt Powdered (NATIONAL/SHAN) 80,Sialkot,60.0,4,2023,Food & Beverages
Chilies Powder NATIONAL 200 gm Pa,Sialkot,215.0,4,2023,Food & Beverages
Garlic (Lehsun),Sialkot,357.47,4,2023,Food & Beverages
Tea Lipton Yellow Label 190 gm Pack,Sialkot,558.82,4,2023,Food & Beverages
Cooked Beef at Average Hotel,Sialkot,250.0,4,2023,Food & Beverages
Cooked Daal at Average Hotel,Sialkot,100.0,4,2023,Food & Beverages
Tea Prepared Ordinary,Sialkot,40.0,4,2023,Food & Beverages
Cigarettes Capstan 20'S Packet,Sialkot,220.0,4,2023,Miscellaneous
"Long Cloth 57"" Gul Ahmed/Al Karam",Sialkot,450.0,4,2023,Apparel & Footwear
Shirting (Average Quality),Sialkot,370.0,4,2023,Apparel & Footwear
Lawn Printed Gul Ahmed/Al Karam,Sialkot,370.0,4,2023,Apparel & Footwear
Georgette (Average Quality),Sialkot,300.0,4,2023,Apparel & Footwear
Gents Sandal Bata,Sialkot,1499.0,4,2023,Apparel & Footwear
Gents Sponge Chappal Bata,Sialkot,379.0,4,2023,Apparel & Footwear
Ladies Sandal Bata,Sialkot,699.0,4,2023,Apparel & Footwear
Electricity Charges upto 50 Units,Sialkot,6.23,4,2023,Housing Water & Energy
Gas Charges upto 3.3719 MMBTU,Sialkot,295.0,4,2023,Housing Water & Energy
Firewood Whole,Sialkot,1000.0,4,2023,Housing Water & Energy
Energy Saver Philips 14 Watt,Sialkot,400.0,4,2023,Household Equipment
Sufi Washing Soap 250 gm Cake,Sialkot,110.0,4,2023,Personal Care
Match Box,Sialkot,4.47,4,2023,Household Equipment
Petrol Super,Sialkot,277.9,4,2023,Transport & Communication
Hi-Speed Diesel,Sialkot,294.43,4,2023,Transport & Communication
